BinStart,BinEnd,AvgCurrent_mA
100,200,76.66666666666667
200,300,240.0
600,700,32.5
700,800,112.5
800,900,121.66666666666667
900,1000,240.0
1300,1400,240.0
1700,1800,240.0
2200,2300,240.0
2600,2700,240.0
3000,3100,45.0
3100,3200,175.0
3200,3300,123.33333333333333
3300,3400,180.0
3400,3500,146.66666666666666
3900,4000,146.25
4000,4100,130.0
4500,4600,240.0
4900,5000,45.0
5000,5100,151.25
5500,5600,240.0
5900,6000,112.5
6000,6100,81.66666666666667
6100,6200,81.66666666666667
6200,6300,130.0
6700,6800,240.0
7100,7200,112.5
7200,7300,32.5
7300,7400,147.5
7800,7900,32.5
7900,8000,130.0
8000,8100,136.25
8100,8200,240.0
8500,8600,240.0
8900,9000,45.0
9000,9100,100.0
9100,9200,240.0
9500,9600,138.75
9600,9700,130.0
10000,10100,45.0
10100,10200,180.0
10200,10300,172.5
10300,10400,20.0
10400,10500,240.0
10800,10900,125.0
10900,11000,175.0
11000,11100,146.66666666666666
11500,11600,240.0
11900,12000,240.0
12400,12500,45.0
12500,12600,170.0
12600,12700,100.0
12700,12800,76.66666666666667
12800,12900,240.0
13200,13300,105.0
13300,13400,66.25
13400,13500,240.0
13800,13900,135.0
13900,14000,165.0
14000,14100,170.0
14100,14200,175.0
14200,14300,106.25
14300,14400,76.66666666666667
14400,14500,147.5
14900,15000,240.0
15300,15400,240.0
15800,15900,240.0
16200,16300,130.0
16300,16400,167.14285714285714
16400,16500,81.66666666666667
16500,16600,165.0
16600,16700,130.0
17000,17100,45.0
17100,17200,140.0
17200,17300,240.0
17600,17700,45.0
17700,17800,170.0
17800,17900,81.66666666666667
17900,18000,151.25
18300,18400,240.0
18800,18900,240.0
19200,19300,240.0
19700,19800,240.0
20100,20200,240.0
20500,20600,240.0
21000,21100,240.0
21400,21500,105.0
21500,21600,142.0
21600,21700,105.0
21700,21800,150.83333333333334
21800,21900,240.0
22200,22300,105.0
22300,22400,116.66666666666667
22400,22500,240.0
22800,22900,45.0
22900,23000,142.0
23000,23100,81.66666666666667
23100,23200,147.0
23200,23300,102.5
23300,23400,141.66666666666666
23800,23900,240.0
24200,24300,240.0
24600,24700,240.0
25000,25100,240.0
25500,25600,144.0
25600,25700,130.0
26000,26100,240.0
26500,26600,240.0
26900,27000,240.0
27300,27400,240.0
27800,27900,240.0
28200,28300,240.0
28600,28700,240.0
29000,29100,240.0
29500,29600,106.25
29600,29700,105.0
29700,29800,81.66666666666667
29800,29900,116.66666666666667
29900,30000,240.0
30300,30400,45.0
30400,30500,168.0
30500,30600,154.0
31000,31100,138.75
31100,31200,106.25
31200,31300,130.0
31700,31800,105.0
31800,31900,130.0
32200,32300,45.0
32300,32400,76.66666666666667
32400,32500,132.5
32500,32600,76.66666666666667
32600,32700,240.0
33000,33100,240.0
33500,33600,240.0
33900,34000,112.5
34000,34100,155.0
34500,34600,240.0
34900,35000,105.0
35000,35100,160.83333333333334
35500,35600,240.0
35900,36000,240.0
36300,36400,240.0
36800,36900,240.0
37200,37300,240.0
37600,37700,105.0
37700,37800,168.0
37800,37900,81.66666666666667
37900,38000,92.5
38000,38100,240.0
38400,38500,130.0
38500,38600,106.25
38600,38700,146.66666666666666
39100,39200,240.0
39500,39600,240.0
39900,40000,240.0
40400,40500,146.25
40500,40600,171.0
40600,40700,126.66666666666667
40700,40800,81.66666666666667
40800,40900,45.0
40900,41000,176.25
41000,41100,174.0
41100,41200,121.66666666666667
41200,41300,141.0
41300,41400,176.25
41400,41500,130.0
41800,41900,105.0
41900,42000,142.0
42000,42100,105.0
42100,42200,146.66666666666666
42600,42700,240.0
43000,43100,240.0
43500,43600,130.0
43600,43700,180.0
43700,43800,180.0
43800,43900,98.75
43900,44000,100.0
44000,44100,240.0
44500,44600,240.0
44900,45000,240.0
45400,45500,36.666666666666664
45500,45600,171.0
45600,45700,136.0
45700,45800,135.0
45800,45900,81.66666666666667
45900,46000,175.0
46000,46100,141.66666666666666
46400,46500,240.0
46900,47000,135.0
47000,47100,121.66666666666667
47100,47200,130.0
47200,47300,76.66666666666667
47300,47400,81.66666666666667
47400,47500,176.25
47500,47600,136.25
47600,47700,240.0
48000,48100,240.0
48400,48500,105.0
48500,48600,176.25
48600,48700,130.0
49000,49100,45.0
49100,49200,145.83333333333334
49200,49300,45.0
49300,49400,165.0
49400,49500,141.66666666666666
49900,50000,240.0
50300,50400,240.0
50700,50800,45.0
50800,50900,170.0
50900,51000,102.5
51000,51100,130.0
51500,51600,240.0
51900,52000,240.0
52300,52400,130.0
52400,52500,116.66666666666667
52500,52600,240.0
52900,53000,240.0
53300,53400,146.25
53400,53500,100.0
53500,53600,240.0
53900,54000,135.0
54000,54100,168.0
54100,54200,141.66666666666666
54600,54700,240.0
55100,55200,240.0
55600,55700,147.0
55700,55800,165.0
55800,55900,106.25
55900,56000,175.0
56000,56100,176.25
56100,56200,146.66666666666666
56500,56600,45.0
