Cycle,Current_mA,Voltage_V,Power_mW,Command
10,60.000,1.200,72.000,ACTIVATE
210,60.000,1.200,72.000,ACTIVATE
410,60.000,1.200,72.000,ACTIVATE
610,60.000,1.200,72.000,ACTIVATE
810,60.000,1.200,72.000,ACTIVATE
1010,60.000,1.200,72.000,ACTIVATE
1210,60.000,1.200,72.000,ACTIVATE
1410,60.000,1.200,72.000,ACTIVATE
1610,60.000,1.200,72.000,ACTIVATE
1810,60.000,1.200,72.000,ACTIVATE
2010,60.000,1.200,72.000,ACTIVATE
2210,60.000,1.200,72.000,ACTIVATE
2410,60.000,1.200,72.000,ACTIVATE
2610,60.000,1.200,72.000,ACTIVATE
2810,60.000,1.200,72.000,ACTIVATE
3010,60.000,1.200,72.000,ACTIVATE
3210,60.000,1.200,72.000,ACTIVATE
3410,60.000,1.200,72.000,ACTIVATE
3610,60.000,1.200,72.000,ACTIVATE
3810,60.000,1.200,72.000,ACTIVATE
4010,60.000,1.200,72.000,ACTIVATE
4210,60.000,1.200,72.000,ACTIVATE
4410,60.000,1.200,72.000,ACTIVATE
4610,60.000,1.200,72.000,ACTIVATE
4810,60.000,1.200,72.000,ACTIVATE
5010,60.000,1.200,72.000,ACTIVATE
5210,60.000,1.200,72.000,ACTIVATE
5410,60.000,1.200,72.000,ACTIVATE
5610,60.000,1.200,72.000,ACTIVATE
5810,60.000,1.200,72.000,ACTIVATE
6010,60.000,1.200,72.000,ACTIVATE
6210,60.000,1.200,72.000,ACTIVATE
6410,60.000,1.200,72.000,ACTIVATE
6610,60.000,1.200,72.000,ACTIVATE
6810,60.000,1.200,72.000,ACTIVATE
7010,60.000,1.200,72.000,ACTIVATE
7210,60.000,1.200,72.000,ACTIVATE
7410,60.000,1.200,72.000,ACTIVATE
7610,60.000,1.200,72.000,ACTIVATE
7810,60.000,1.200,72.000,ACTIVATE
8010,60.000,1.200,72.000,ACTIVATE
8210,60.000,1.200,72.000,ACTIVATE
8410,60.000,1.200,72.000,ACTIVATE
8610,60.000,1.200,72.000,ACTIVATE
8810,60.000,1.200,72.000,ACTIVATE
9010,60.000,1.200,72.000,ACTIVATE
9210,60.000,1.200,72.000,ACTIVATE
9410,60.000,1.200,72.000,ACTIVATE
9610,60.000,1.200,72.000,ACTIVATE
9810,60.000,1.200,72.000,ACTIVATE
10010,60.000,1.200,72.000,ACTIVATE
10210,60.000,1.200,72.000,ACTIVATE
10410,60.000,1.200,72.000,ACTIVATE
10610,60.000,1.200,72.000,ACTIVATE
10810,60.000,1.200,72.000,ACTIVATE
11010,60.000,1.200,72.000,ACTIVATE
11210,60.000,1.200,72.000,ACTIVATE
11410,60.000,1.200,72.000,ACTIVATE
11610,60.000,1.200,72.000,ACTIVATE
11810,60.000,1.200,72.000,ACTIVATE
12010,60.000,1.200,72.000,ACTIVATE
12210,60.000,1.200,72.000,ACTIVATE
12410,60.000,1.200,72.000,ACTIVATE
12599,40.000,1.200,48.000,IDLE
12799,40.000,1.200,48.000,IDLE
12999,40.000,1.200,48.000,IDLE
13199,40.000,1.200,48.000,IDLE
13399,40.000,1.200,48.000,IDLE
13599,40.000,1.200,48.000,IDLE
13799,40.000,1.200,48.000,IDLE
13999,40.000,1.200,48.000,IDLE
14199,40.000,1.200,48.000,IDLE
14399,40.000,1.200,48.000,IDLE
14599,40.000,1.200,48.000,IDLE
14799,40.000,1.200,48.000,IDLE
14999,40.000,1.200,48.000,IDLE
15199,40.000,1.200,48.000,IDLE
15399,40.000,1.200,48.000,IDLE
15599,40.000,1.200,48.000,IDLE
15799,40.000,1.200,48.000,IDLE
15999,40.000,1.200,48.000,IDLE
16199,40.000,1.200,48.000,IDLE
16399,40.000,1.200,48.000,IDLE
16599,40.000,1.200,48.000,IDLE
16799,40.000,1.200,48.000,IDLE
16999,40.000,1.200,48.000,IDLE
17199,40.000,1.200,48.000,IDLE
17399,40.000,1.200,48.000,IDLE
17599,40.000,1.200,48.000,IDLE
17799,40.000,1.200,48.000,IDLE
