timestamp_ns,activate_mw,read_mw,write_mw,refresh_mw,precharge_mw,background_mw
0,0.0,0.0,0.0,0.0,0.0,35.0
625,120.0,0.0,0.0,0.0,0.0,35.0
1250,0.0,85.0,0.0,0.0,0.0,35.0
1875,0.0,0.0,0.0,0.0,0.0,35.0
2500,0.0,0.0,95.0,0.0,0.0,35.0
3125,0.0,0.0,0.0,0.0,0.0,35.0
3750,0.0,0.0,0.0,0.0,45.0,35.0
4375,0.0,0.0,0.0,280.0,0.0,35.0
5000,0.0,0.0,0.0,280.0,0.0,35.0
5625,0.0,0.0,0.0,280.0,0.0,35.0
6250,0.0,0.0,0.0,0.0,0.0,35.0
6875,120.0,0.0,0.0,0.0,0.0,35.0
7500,0.0,85.0,0.0,0.0,0.0,35.0
8125,0.0,0.0,0.0,0.0,0.0,35.0
8750,0.0,0.0,95.0,0.0,0.0,35.0
9375,0.0,0.0,0.0,0.0,0.0,35.0
10000,0.0,0.0,0.0,0.0,45.0,35.0
10625,0.0,0.0,0.0,0.0,0.0,35.0
11250,120.0,0.0,0.0,0.0,0.0,35.0
11875,0.0,85.0,0.0,0.0,0.0,35.0
12500,0.0,0.0,0.0,0.0,0.0,35.0
