Start,End,State,Label
0,136,IDLE,
136,153,ACTIVE,Row 0
153,181,WRITING,
181,214,PRECHARGING,
214,639,REFRESHING,
639,682,ACTIVE,Row 0
682,712,PRECHARGING,
712,754,ACTIVE,Row 0
754,833,READING,
833,860,WRITING,
860,877,READING,
877,908,PRECHARGING,
908,3094,REFRESHING,
3094,3112,ACTIVE,Row 0
3112,3147,READING,
3147,3168,WRITING,
3168,3214,READING,
3214,3234,WRITING,
3234,3251,READING,
3251,3270,PRECHARGING,
3270,3289,ACTIVE,Row 0
3289,3332,WRITING,
3332,3449,READING,
3449,3472,PRECHARGING,
3472,3936,REFRESHING,
3936,3962,ACTIVE,Row 0
3962,4024,READING,
4024,4060,PRECHARGING,
4060,4945,REFRESHING,
4945,5005,ACTIVE,Row 0
5005,5040,READING,
5040,5064,WRITING,
5064,5094,PRECHARGING,
5094,5948,REFRESHING,
5948,5983,ACTIVE,Row 0
5983,6011,READING,
6011,6038,PRECHARGING,
6038,6087,ACTIVE,Row 0
6087,6114,READING,
6114,6142,PRECHARGING,
6142,6182,ACTIVE,Row 0
6182,6249,READING,
6249,6273,PRECHARGING,
6273,7138,REFRESHING,
7138,7192,ACTIVE,Row 0
7192,7264,READING,
7264,7285,PRECHARGING,
7285,7308,ACTIVE,Row 0
7308,7337,WRITING,
7337,7354,PRECHARGING,
7354,7803,REFRESHING,
7803,7879,ACTIVE,Row 0
7879,7906,PRECHARGING,
7906,7961,ACTIVE,Row 0
7961,7991,WRITING,
7991,8042,READING,
8042,8072,WRITING,
8072,8132,PRECHARGING,
8132,8981,REFRESHING,
8981,9012,ACTIVE,Row 0
9012,9034,READING,
9034,9103,PRECHARGING,
9103,9526,REFRESHING,
9526,9559,ACTIVE,Row 0
9559,9591,WRITING,
9591,9619,READING,
9619,9665,PRECHARGING,
9665,10099,REFRESHING,
10099,10142,ACTIVE,Row 0
10142,10241,READING,
10241,10260,WRITING,
10260,10283,READING,
10283,10333,WRITING,
10333,10415,PRECHARGING,
10415,10843,REFRESHING,
10843,10863,ACTIVE,Row 0
10863,10959,WRITING,
10959,11028,READING,
11028,11054,PRECHARGING,
11054,12496,REFRESHING,
12496,12539,ACTIVE,Row 0
12539,12548,WRITING,
12548,12568,READING,
12568,12661,WRITING,
12661,12697,READING,
12697,12715,PRECHARGING,
12715,12753,ACTIVE,Row 0
12753,12786,WRITING,
12786,12803,PRECHARGING,
