Cycle,Command,Bank,Row
136,ACTIVATE,0,0
153,WRITE,0,0
181,PRECHARGE,0,0
214,REFRESH,0,0
639,ACTIVATE,0,0
682,PRECHARGE,0,0
712,ACTIVATE,0,0
754,READ,0,0
833,WRITE,0,0
860,READ,0,0
877,PRECHARGE,0,0
908,REFRESH,0,0
1333,REFRESH,0,0
1777,REFRESH,0,0
2208,REFRESH,0,0
2642,REFRESH,0,0
3094,ACTIVATE,0,0
3112,READ,0,0
3130,READ,0,0
3147,WRITE,0,0
3157,WRITE,0,0
3168,READ,0,0
3197,READ,0,0
3214,WRITE,0,0
3234,READ,0,0
3251,PRECHARGE,0,0
3270,ACTIVATE,0,0
3289,WRITE,0,0
3298,WRITE,0,0
3332,READ,0,0
3348,READ,0,0
3395,READ,0,0
3411,READ,0,0
3449,PRECHARGE,0,0
3472,REFRESH,0,0
3936,ACTIVATE,0,0
3962,READ,0,0
3982,READ,0,0
3989,READ,0,0
4024,PRECHARGE,0,0
4060,REFRESH,0,0
4514,REFRESH,0,0
4945,ACTIVATE,0,0
5005,READ,0,0
5040,WRITE,0,0
5064,PRECHARGE,0,0
5094,REFRESH,0,0
5525,REFRESH,0,0
5948,ACTIVATE,0,0
5983,READ,0,0
6011,PRECHARGE,0,0
6038,ACTIVATE,0,0
6087,READ,0,0
6114,PRECHARGE,0,0
6142,ACTIVATE,0,0
6182,READ,0,0
6249,PRECHARGE,0,0
6273,REFRESH,0,0
6708,REFRESH,0,0
7138,ACTIVATE,0,0
7192,READ,0,0
7264,PRECHARGE,0,0
7285,ACTIVATE,0,0
7308,WRITE,0,0
7319,WRITE,0,0
7337,PRECHARGE,0,0
7354,REFRESH,0,0
7803,ACTIVATE,0,0
7879,PRECHARGE,0,0
7906,ACTIVATE,0,0
7961,WRITE,0,0
7991,READ,0,0
8005,READ,0,0
8013,READ,0,0
8042,WRITE,0,0
8072,PRECHARGE,0,0
8132,REFRESH,0,0
8559,REFRESH,0,0
8981,ACTIVATE,0,0
9012,READ,0,0
9034,PRECHARGE,0,0
9103,REFRESH,0,0
9526,ACTIVATE,0,0
9559,WRITE,0,0
9573,WRITE,0,0
9591,READ,0,0
9619,PRECHARGE,0,0
9665,REFRESH,0,0
10099,ACTIVATE,0,0
10142,READ,0,0
10201,READ,0,0
10241,WRITE,0,0
10260,READ,0,0
10283,WRITE,0,0
10333,PRECHARGE,0,0
10415,REFRESH,0,0
10843,ACTIVATE,0,0
10863,WRITE,0,0
10897,WRITE,0,0
10915,WRITE,0,0
10959,READ,0,0
10974,READ,0,0
11004,READ,0,0
11028,PRECHARGE,0,0
11054,REFRESH,0,0
11510,REFRESH,0,0
